Datetime (CET+1/CEST +2),Datetime (UTC),Elia Grid Load [MW]
2022-01-01 00:00:00,2021-12-31 23:00:00,0.48301927671687966
2022-01-01 00:15:00,2021-12-31 23:15:00,0.47402686889349704
2022-01-01 00:30:00,2021-12-31 23:30:00,0.4664469329509891
2022-01-01 00:45:00,2021-12-31 23:45:00,0.4551412415777782
2022-01-01 01:00:00,2022-01-01 00:00:00,0.45006482967457867
2022-01-01 01:15:00,2022-01-01 00:15:00,0.43301183540658067
2022-01-01 01:30:00,2022-01-01 00:30:00,0.4187836828947075
2022-01-01 01:45:00,2022-01-01 00:45:00,0.4046070432231493
2022-01-01 02:00:00,2022-01-01 01:00:00,0.393740588068545
2022-01-01 02:15:00,2022-01-01 01:15:00,0.3852966644874865
2022-01-01 02:30:00,2022-01-01 01:30:00,0.37339464823411433
2022-01-01 02:45:00,2022-01-01 01:45:00,0.3690646114845481
2022-01-01 03:00:00,2022-01-01 02:00:00,0.36427350931275654
2022-01-01 03:15:00,2022-01-01 02:15:00,0.35975445614120277
2022-01-01 03:30:00,2022-01-01 02:30:00,0.3554120767110857
2022-01-01 03:45:00,2022-01-01 02:45:00,0.3516361345131848
2022-01-01 04:00:00,2022-01-01 03:00:00,0.35092964355868655
2022-01-01 04:15:00,2022-01-01 03:15:00,0.35071145352812466
2022-01-01 04:30:00,2022-01-01 03:30:00,0.346997122727353
2022-01-01 04:45:00,2022-01-01 03:45:00,0.34776695917459505
2022-01-01 05:00:00,2022-01-01 04:00:00,0.34746063628456353
2022-01-01 05:15:00,2022-01-01 04:15:00,0.3447069944542603
2022-01-01 05:30:00,2022-01-01 04:30:00,0.34100847452526845
2022-01-01 05:45:00,2022-01-01 04:45:00,0.34035390443358265
2022-01-01 06:00:00,2022-01-01 05:00:00,0.3498387954115015
2022-01-01 06:15:00,2022-01-01 05:15:00,0.3542412561543819
2022-01-01 06:30:00,2022-01-01 05:30:00,0.35899012799767754
2022-01-01 06:45:00,2022-01-01 05:45:00,0.35592934723234776
2022-01-01 07:00:00,2022-01-01 06:00:00,0.3503170997842479
2022-01-01 07:15:00,2022-01-01 06:15:00,0.34858983854651776
2022-01-01 07:30:00,2022-01-01 06:30:00,0.35048571508135823
2022-01-01 07:45:00,2022-01-01 06:45:00,0.3499695666219644
2022-01-01 08:00:00,2022-01-01 07:00:00,0.35790060592360945
2022-01-01 08:15:00,2022-01-01 07:15:00,0.3624188430501681
2022-01-01 08:30:00,2022-01-01 07:30:00,0.3524949198648915
2022-01-01 08:45:00,2022-01-01 07:45:00,0.34941863424465497
2022-01-01 09:00:00,2022-01-01 08:00:00,0.34921350093401454
2022-01-01 09:15:00,2022-01-01 08:15:00,0.3523021292348018
2022-01-01 09:30:00,2022-01-01 08:30:00,0.3612349657735428
2022-01-01 09:45:00,2022-01-01 08:45:00,0.3653093764283975
2022-01-01 10:00:00,2022-01-01 09:00:00,0.37395924936509156
2022-01-01 10:15:00,2022-01-01 09:15:00,0.37990495319930956
2022-01-01 10:30:00,2022-01-01 09:30:00,0.3800294000610606
2022-01-01 10:45:00,2022-01-01 09:45:00,0.37566896563542723
2022-01-01 11:00:00,2022-01-01 10:00:00,0.3624200671176608
2022-01-01 11:15:00,2022-01-01 10:15:00,0.35544981879210863
2022-01-01 11:30:00,2022-01-01 10:30:00,0.34072122668699706
2022-01-01 11:45:00,2022-01-01 10:45:00,0.3289027530399971
2022-01-01 12:00:00,2022-01-01 11:00:00,0.3229747981844224
2022-01-01 12:15:00,2022-01-01 11:15:00,0.3179079748099151
2022-01-01 12:30:00,2022-01-01 11:30:00,0.3097169231717099
2022-01-01 12:45:00,2022-01-01 11:45:00,0.3024336195849167
